Run,ALPHA,BETA,RHO,Q,ANTS,ITERS,Best Length,Total Time (s),Max Iter Time (s),Min Iter Time (s)
1,0.5,5.0,0.5,100,30,200,1723,2.3,0.021192,0.011147
2,0.5,8.0,0.8,25,30,80,1730,0.95,0.019868,0.010832
3,1.0,2.0,0.2,25,30,300,1711,3.57,0.021417,0.010824
4,0.5,5.0,0.2,150,100,10,1711,0.39,0.04547,0.036406
5,2.0,2.0,0.2,50,30,200,1751,2.37,0.025589,0.010637
6,2.0,8.0,0.8,50,80,300,1757,9.53,0.048509,0.028419
7,0.5,5.0,0.5,150,30,300,1711,3.6,0.024943,0.010763
8,1.0,8.0,0.5,25,30,40,1753,0.5,0.027196,0.010775
9,2.0,8.0,0.5,150,10,80,1757,0.37,0.007164,0.003693
10,1.0,2.0,0.8,200,80,40,1748,1.21,0.038218,0.028765
11,0.5,5.0,0.2,50,10,200,1730,0.82,0.009279,0.003704
12,0.5,8.0,0.5,100,30,100,1753,1.19,0.027242,0.010836
13,1.0,5.0,0.2,150,100,80,1711,2.99,0.050353,0.035235
14,1.0,2.0,0.2,200,100,200,1711,7.51,0.059081,0.035346
15,0.5,2.0,0.5,25,30,40,1829,0.48,0.017372,0.011166
16,0.5,2.0,0.8,100,80,100,1813,3.03,0.041025,0.028385
17,2.0,2.0,0.2,50,80,40,1751,1.22,0.039985,0.029555
18,1.0,2.0,0.8,25,80,100,1719,3.05,0.042779,0.028274
19,0.5,8.0,0.5,25,30,300,1730,3.5,0.02915,0.010641
20,1.0,2.0,0.5,200,50,100,1711,1.96,0.031348,0.018514
21,2.0,2.0,0.5,100,100,300,1753,11.39,0.060781,0.035286
22,0.5,5.0,0.5,100,50,10,1753,0.21,0.030872,0.018479
23,0.5,5.0,0.5,150,30,80,1711,0.97,0.020492,0.010841
24,2.0,8.0,0.2,200,80,40,1753,1.27,0.051021,0.029588
25,0.5,8.0,0.5,50,100,40,1753,1.53,0.053829,0.036922
26,2.0,8.0,0.5,25,100,200,1753,7.56,0.049176,0.036801
27,1.0,5.0,0.8,25,10,200,1753,0.82,0.01175,0.003673
28,2.0,2.0,0.8,200,80,80,1762,2.44,0.050057,0.029382
29,1.0,8.0,0.2,50,80,40,1711,1.25,0.043657,0.029467
30,2.0,2.0,0.2,200,80,200,1752,6.14,0.047773,0.029341
31,0.5,5.0,0.5,50,100,80,1711,3.03,0.049433,0.036841
32,2.0,8.0,0.5,25,50,300,1753,5.76,0.033639,0.017844
33,2.0,5.0,0.8,25,100,40,1753,1.52,0.051303,0.037028
34,2.0,5.0,0.2,150,10,300,1787,1.28,0.013718,0.00368
35,0.5,2.0,0.5,100,30,100,1821,1.16,0.024878,0.011041
36,0.5,5.0,0.8,25,50,100,1730,1.91,0.031529,0.018448
37,2.0,8.0,0.2,50,30,40,1757,0.52,0.025221,0.011013
38,2.0,8.0,0.8,100,30,80,1757,0.91,0.013022,0.011046
39,2.0,8.0,0.2,50,10,40,1753,0.17,0.006867,0.003721
40,1.0,5.0,0.8,25,100,10,1753,0.38,0.038987,0.037387
41,2.0,8.0,0.2,150,30,10,1753,0.13,0.01663,0.011171
42,1.0,5.0,0.8,100,30,300,1711,3.49,0.020053,0.01103
43,1.0,2.0,0.2,100,80,300,1711,8.98,0.040307,0.028395
44,1.0,5.0,0.5,25,30,10,1757,0.14,0.020956,0.011098
45,2.0,8.0,0.2,100,50,40,1753,0.77,0.038471,0.017686
46,0.5,2.0,0.8,150,50,80,1800,1.51,0.025142,0.017913
47,1.0,5.0,0.8,50,80,100,1730,3.04,0.040645,0.028533
48,2.0,5.0,0.8,50,80,300,1753,9.57,0.051165,0.028403
49,1.0,8.0,0.5,200,50,10,1753,0.19,0.019794,0.018452
50,1.0,2.0,0.2,25,100,80,1711,3.01,0.052892,0.035538
